PART_NUM,DEAL_REG_GROUP,START_DATE,END_DATE,ACTIVE_FLAG,ADD_DATE,MODIFIED_Date
SWPT000312,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000313,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000314,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000315,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000316,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000317,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000318,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000319,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000320,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000321,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000322,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000323,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000324,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000325,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000326,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000504,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000505,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT002115,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT002133,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT002134,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT002185,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT002186,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT002315,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT002316,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000273,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000274,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000275,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000275,Disability Portfolio,6/24/2019 12:00:00 AM,10/9/2019 12:00:00 AM,N,7/11/2019 5:02:22 PM,10/10/2019 8:04:36 AM
SWPT000276,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000276,Disability Portfolio,6/24/2019 12:00:00 AM,10/9/2019 12:00:00 AM,N,7/11/2019 5:02:22 PM,10/10/2019 8:04:36 AM
SWPT000277,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000277,Disability Portfolio,6/24/2019 12:00:00 AM,10/9/2019 12:00:00 AM,N,7/11/2019 5:02:22 PM,10/10/2019 8:04:36 AM
SWPT000280,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000280,Disability Portfolio,6/24/2019 12:00:00 AM,10/9/2019 12:00:00 AM,N,7/11/2019 5:02:22 PM,10/10/2019 8:04:36 AM
SWPT000281,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000282,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000283,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000510,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000510,Disability Portfolio,6/24/2019 12:00:00 AM,10/9/2019 12:00:00 AM,N,7/11/2019 5:02:22 PM,10/10/2019 8:04:36 AM
SWPT000511,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000511,Disability Portfolio,6/24/2019 12:00:00 AM,10/9/2019 12:00:00 AM,N,7/11/2019 5:02:22 PM,10/10/2019 8:04:36 AM
SWPT000512,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000513,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000514,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000515,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000516,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000517,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000517,Disability Portfolio,6/24/2019 12:00:00 AM,10/9/2019 12:00:00 AM,N,7/11/2019 5:02:22 PM,10/10/2019 8:04:36 AM
SWPT000518,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000518,Disability Portfolio,6/24/2019 12:00:00 AM,10/9/2019 12:00:00 AM,N,7/11/2019 5:02:22 PM,10/10/2019 8:04:36 AM
SWPT000519,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000519,Disability Portfolio,6/24/2019 12:00:00 AM,10/9/2019 12:00:00 AM,N,7/11/2019 5:02:22 PM,10/10/2019 8:04:36 AM
SWPT000524,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000524,Disability Portfolio,6/24/2019 12:00:00 AM,10/9/2019 12:00:00 AM,N,7/11/2019 5:02:22 PM,10/10/2019 8:04:36 AM
SWPT000525,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000525,Disability Portfolio,6/24/2019 12:00:00 AM,10/9/2019 12:00:00 AM,N,7/11/2019 5:02:22 PM,10/10/2019 8:04:36 AM
SWPT000994,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
SWPT000994,Disability Portfolio,6/24/2019 12:00:00 AM,10/9/2019 12:00:00 AM,N,7/11/2019 5:02:22 PM,10/10/2019 8:04:36 AM
SWPT000995,Disability Portfolio,2019-06-24-00.00.00.000000,2019-10-09-00.00.00.000000,N,2019-07-11-17.02.22.000000,2019-10-10-08.04.36.000000
